GRANT_CARD_CODE,ENTRY_NUM,EXIT_NUM,ENTRY_TIME,DEAL_TIME,ENTRY_STATION,EXIT_STATION
15240130,623,1351,20160311050700,20160311060702,慈寿寺,东直门
18294818,623,521,20160311051900,20160311062745,慈寿寺,天通苑北
30599856,623,214,20160311052000,20160311060820,慈寿寺,东直门
86277070,623,1351,20160311052000,20160311060328,慈寿寺,东直门
32776560,623,1485,20160311052100,20160311062339,慈寿寺,阜通
87584587,623,1027,20160311052100,20160311060537,慈寿寺,三元桥
72290271,623,551,20160311053000,20160311060335,慈寿寺,灯市口
83342288,623,208,20160311053100,20160311055910,慈寿寺,前门
79211413,623,643,20160311053600,20160311060607,慈寿寺,朝阳门
35644983,623,929,20160311053700,20160311061019,慈寿寺,北京西站
88730598,623,815,20160311054300,20160311064401,慈寿寺,育新
11704959,623,641,20160311055000,20160311061807,慈寿寺,东四
27316885,623,645,20160311055100,20160311062050,慈寿寺,东大桥
40628468,623,208,20160311055200,20160311062320,慈寿寺,前门
70471445,623,929,20160311055200,20160311061723,慈寿寺,北京西站
33818866,623,653,20160311055400,20160311063216,慈寿寺,青年路
13310212,623,653,20160311055800,20160311063739,慈寿寺,青年路
54640544,623,1489,20160311060600,20160311070030,慈寿寺,东湖渠
44835337,623,561,20160311060600,20160311064750,慈寿寺,蒲黄榆
16100027,623,449,20160311060600,20160311063418,慈寿寺,西四
63253341,623,119,20160311060600,20160311063928,慈寿寺,东单
69559806,623,214,20160311060800,20160311064504,慈寿寺,东直门
83287923,623,1007,20160311060900,20160311062859,慈寿寺,知春里
18460930,623,653,20160311060900,20160311065008,慈寿寺,青年路
13174181,623,643,20160311060900,20160311063855,慈寿寺,朝阳门
43878100,623,9055,20160311060900,20160311062142,慈寿寺,莲花桥
75284386,623,653,20160311061100,20160311065007,慈寿寺,青年路
69775588,623,1553,20160311061100,20160311072511,慈寿寺,花梨坎
87760541,623,739,20160311061200,20160311065955,慈寿寺,广渠门内
88488497,623,9327,20160311061200,20160311070627,慈寿寺,高米店南
45529098,623,531,20160311061200,20160311065856,慈寿寺,北苑路北
82039020,623,531,20160311061200,20160311065854,慈寿寺,北苑路北
33168222,623,531,20160311061200,20160311065858,慈寿寺,北苑路北
18578701,623,1011,20160311061300,20160311063817,慈寿寺,西土城
15563340,623,461,20160311061300,20160311070050,慈寿寺,北京南站
83662993,623,639,20160311061400,20160311063737,慈寿寺,南锣鼓巷
5236231,623,453,20160311061400,20160311064147,慈寿寺,西单
37485453,623,423,20160311061500,20160311064524,慈寿寺,北宫门
38652913,623,453,20160311061500,20160311064144,慈寿寺,西单
45681792,623,925,20160311061500,20160311063154,慈寿寺,白堆子
72236174,623,835,20160311061600,20160311064330,慈寿寺,鼓楼大街
49656198,623,214,20160311061700,20160311065129,慈寿寺,东直门
86920225,623,553,20160311061700,20160311065526,慈寿寺,东单
86920224,623,553,20160311061700,20160311065531,慈寿寺,东单
72424128,623,641,20160311061700,20160311064202,慈寿寺,东四
